Component,Quantity,Price each (USD$),Price each (GBP£),Total (USD$),Total (GBP£),Source,Link
12V to 5v 10A Step down (1pcs),1,7.35,5.4,7.35,5.4,Aliexpress,https://a.aliexpress.com/_EGmNZ7e
5 terminal WAGO Connectors (10pcs),1,3.13,2.3,3.13,2.3,Aliexpress,https://a.aliexpress.com/_EybuGZO
Heat Shrink Tubing (164pcs),1,1.91,1.4,1.91,1.4,Aliexpress,https://a.aliexpress.com/_EJhPNOM
20AWG Wire (3meters),3,1.36,1,4.08,3,Aliexpress,https://a.aliexpress.com/_ExfzgdA
WS2812B 54LED 73mm Ring (1pcs),2,6.26,4.6,12.52,9.2,Aliexpress,https://a.aliexpress.com/_EzDYwOg
12V Power Supply (1pcs),1,2.86,2.1,2.86,2.1,Aliexpress,https://a.aliexpress.com/_EGvMOlO
ESP32 S3 Dev Board (1pcs),1,6.81,5,6.81,5,Aliexpress,https://a.aliexpress.com/_EuAnvxq
MAX485 Module (5pcs),1,1.63,1.2,1.63,1.2,Aliexpress,https://a.aliexpress.com/_EJUYni4
3 Pin XLR Male + Female Connector (2pcs),1,1.91,1.4,1.91,1.4,Aliexpress,https://a.aliexpress.com/_EG4m4cG
16V 1000UF Aluminum Capacitors (10pcs),1,1.63,1.2,1.63,1.2,Aliexpress,https://a.aliexpress.com/_EJyEra4
"Resistors (300pcs, I'm sorry it’s the smallest 😭) ",1,2.45,1.8,2.45,1.8,Aliexpress,https://a.aliexpress.com/_EHDOfac
"10A Glass Fuses (100pcs, again - the smallest)",1,4.49,3.3,4.49,3.3,Aliexpress,https://a.aliexpress.com/_Ez32JHE
Glass Fuse Holders 5x20mm (5pcs),1,1.91,1.4,1.91,1.4,Aliexpress,https://a.aliexpress.com/_EuTLJ2k
Tracing Paper (from my drawer),1,0,£0.00,0,0,My House,N/A
Hot Glue  (also from my drawer),1,0,0,0,0,My House,N/A
,,,,$54.68,£39.70,,
